全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
082201,082201-shelter-0001,さくら運動公園,,,082201,0270000,茨城県つくば市流星台,茨城県,つくば市,流星台,,,36.092776437,140.127548467,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0002,茎崎運動公園,,,082201,0105000,茨城県つくば市下岩崎,茨城県,つくば市,下岩崎,,,35.982855247,140.104173133,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0003,大池公園,,,082201,0184000,茨城県つくば市北条,茨城県,つくば市,北条,,,36.174202972,140.103926524,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0004,研究学園駅前公園,,,082201,0051002,茨城県つくば市学園南二丁目,茨城県,つくば市,学園南二丁目,,,36.080804045,140.081553975,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0005,筑波北部公園,,,082201,0074000,茨城県つくば市北原,茨城県,つくば市,北原,,,36.155370741,140.055165137,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0006,（株）鹿島アントラーズFC つくばアカデミーセンター,,,082201,0220000,茨城県つくば市みどりの中央,茨城県,つくば市,みどりの中央,,,36.024949833,140.059672369,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0007,中央公園,,,082201,0006002,茨城県つくば市吾妻二丁目7-5,茨城県,つくば市,吾妻二丁目,7-5,,36.084425,140.111144,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0008,大清水公園,,,082201,0127001,茨城県つくば市竹園一丁目5-2,茨城県,つくば市,竹園一丁目,5-2,,36.080116,140.115594,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0009,コーチャンフォーつくば店（駐車場）,,,082201,0050003,茨城県つくば市学園の森三丁目,茨城県,つくば市,学園の森三丁目,,,36.100598808,140.083663088,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0010,ファーマーズベースつくば,,,082201,0121000,茨城県つくば市高須賀,茨城県,つくば市,高須賀,,,36.068399,140.022365,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
082201,082201-shelter-0011,洞峰公園,,,082201,0162002,茨城県つくば市二の宮二丁目20,茨城県,つくば市,二の宮二丁目,20,,36.062424,140.122579,,,,,,,,082201,茨城県つくば市,,,0,,0,,,0,,,,https://www.city.tsukuba.lg.jp/soshikikarasagasu/shichokoshitsukikikanrika/gyomuannai/1/2/1000608.html,,,
